species,cat_island,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,area_country_pointsCountry,wsc
Micrathena_gracilis,continent,no,"North, Central America",5452,429,1396381.543,2475270.804,16.452633,15.42247657,continent,1173407.705,"north,central america"
Micrathena_militaris,island,no,Greater Antilles,26,15,41933.86378,205278.2182,1.636021,3.458817857,island,33572.08137,greater antilles
Micrathena_sagittata,island_continent,no,"North America, Central America",2029,1235,5206958.698,21875348.71,34.773152,52.05850925,island_continent,18985255.16,"north america,central america"
Moneta_sp,NA,NA,NA,0,,,,,,,,
Neoscona_crucifera,island_continent,NA,North America,5500,2722,7739822.947,21357404.83,31.226922,52.05850925,island_continent,20569168.41,north america
Neoscona_domiciliorum,island_continent,no,USA,1274,752,2793914.357,9462727.54,16.93595,41.07063035,island_continent,16072348.77,usa
Neoscona_mellotteei,island_continent,no,"China, Korea, Taiwan, Japan",184,18,359700.17,10002377.84,10.573518,18.0352402,island_continent,388596.0502,"china,korea,taiwan,japan"
Neoscona_mukerjei,continent,yes,"Pakistan, India, Bangladesh",20,12,939099.5368,4162997.149,16.163667,12.47897777,continent,1168651.28,"pakistan,india,bangladesh"
Neoscona_punctigera,island_continent,yes,"Reunion, India, Myanmar, China, Korea, Japan, Indonesia, Philippines, New Guinea, Australia",252,22,542384.4805,24128087.4,14.522091,65.74546175,island_continent,295815.7128,"reunion,india,myanmar,china,korea,japan,indonesia,philippines,new guinea,australia"
Neoscona_scylla,island_continent,yes,"Russia, Pakistan, China, Korea, Japan",555,32,457111.4751,27796595.93,17.020686,39.52467199,island_continent,51582.86077,"russia,pakistan,china,korea,japan"
Neoscona_subfusca,island_continent,yes,"Southern Europe, Africa, Turkey, Middle East, Ukraine, Caucasus, Russia, Tanzania, Equatorial Guinea",2402,1049,28577205.7,55587066.07,82.870434,91.2410869,island_continent,14233215.17,"southern europe,africa,turkey,middle east,ukraine,caucasus,russia,tanzania,equatorial guinea"
Neoscona_subpullata,NA,yes,"China, Korea, Japan",173,,,,,,,,
Neoscona_theisi,island_continent,no,"Cyprus, Israel, Caucasus, Iran, Pakistan, India, Nepal, Philippines, China to Indonesia, Japan, Australia., , Vietnam, New Caledonia, West, Central, East Africa, Mozambique, South Africa, Eswatini, Yemen, New Guinea",1083,26,3974737.189,32590757.47,60.374107,71.17805022,continent,2072935.75,"cyprus,israel,caucasus,iran,pakistan,india,nepal,philippines,china,indonesia,japan,australia.,,vietnam,new caledonia,west,central,east africa,mozambique,south africa,eswatini,yemen,new guinea"
